Compound,mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference,Formation_energy
OH-OH-Ba,1.67666666666667,7.37669806729351,2.434,0.803211356141508,25.76,0.89,985.99,2.4,1.92,3.1412,0.926309883354377,-1.865620294
OH-OH-Be,1.45,12.8588436550718,2.57,0.582814787035019,7.2,1.57,1545.99,1.6,1.92,3.1412,0.445477272147525,-1.597309436
OH-OH-Ca,1.64,8.51688454645785,2.456,0.774266459580783,26.4,1,1100.99,2,1.92,3.1412,0.848528137423857,-2.011543506
OH-OH-Cd,1.41,6.86126868108657,2.594,0.534956811865944,6.24,1.69,580.21,2.2,1.92,3.1412,0.360624458405139,-1.114656222
OH-OH-Co,1.34666666666667,6.35911436318487,2.632,0.455779073674793,10.08,1.88,1753.99,2,1.92,3.1412,0.226274169979695,-0.993518962
OH-OH-Cu,1.34,6.38486004623137,2.636,0.447277935696606,8.16,1.9,1343.76,2,1.92,3.1412,0.212132034355964,-0.803317714
OH-OH-Fe,1.36333333333333,6.11739191417626,2.622,0.476922164006862,11.04,1.83,1796.99,2,1.92,3.1412,0.261629509039023,-1.032979692
OH-OH-Mg,1.53666666666667,10.0635947139184,2.518,0.678328679969553,6.88,1.31,908.99,1.8,1.92,3.1412,0.629325035256027,-1.876676044
OH-OH-Mn,1.45666666666667,6.63162053255274,2.566,0.590584603914435,12,1.55,1504.99,2,1.92,3.1412,0.459619407771256,-1.083261214
OH-OH-Ni,1.33666666666667,6.43573757013074,2.638,0.443019472906049,9.12,1.91,1713.99,2,1.92,3.1412,0.205060966544099,-1.141403212
OH-OH-Pb,1.19666666666667,6.43573757013074,2.722,0.319140970908075,3.36,2.2,586.6,2.4,1.6,3.1412,0.091923881554251,-0.991816316
OH-OH-Pd,1.24,5.97440952831622,2.696,0.319140970908075,8.8,2.2,1814.04,2.2,1.92,3.1412,0,-0.538130452
OH-OH-Pt,1.21333333333333,6.30698813048419,2.712,0.319140970908075,8.48,2.2,2027.39,2.4,1.92,3.1412,0.056568542494924,-0.304383832
OH-OH-Sr,1.65666666666667,7.99566431732313,2.446,0.787757332306276,26.08,0.95,1035.99,2.2,1.92,3.1412,0.883883476483185,-1.957151412
OH-OH-Zn,1.42333333333333,6.97054288027645,2.586,0.551131362113503,6.56,1.65,678.67,2,1.92,3.1412,0.388908729652601,-1.230170328
OH-O-Al,1.535,10.791534289424,2.6725,0.567089816109359,5.875,1.61,919.46,2,1.75,1.96325,0.417193000900063,-2.3588469925
OH-O-Bi,1.33,6.47649101285584,2.775,0.395951025061975,2,2.02,530.39,2.75,1.375,1.96325,0.127279220613579,-0.9496404925
OH-O-Ce,1.78,6.10689894003677,2.55,0.739616569076971,27.625,1.12,1056.99,2.75,2,1.96325,0.763675323681471,-2.5827947675
OH-O-Co,1.4,6.25064313381835,2.74,0.455779073674793,11.5,1.88,1753.99,2.25,2,1.96325,0.226274169979695,-1.141578085
OH-O-Cr,1.51,6.29711802338558,2.685,0.547107278760105,14.875,1.66,2165.99,2.25,2,1.96325,0.381837661840736,-1.8277956625
OH-O-Fe,1.425,7.11025430938578,2.7275,0.476922164006862,12.625,1.83,1796.99,2.25,2,1.96325,0.261629509039023,-1.21004957
OH-O-Ga,1.435,7.75552155945625,2.7225,0.485327755826721,5.5,1.81,288.9,2.25,1.75,1.96325,0.275771644662754,-1.5547389875
OH-O-Gd,1.74,6.84736254511225,2.57,0.714753054942695,23.125,1.2,1571.99,2.75,2,1.96325,0.707106781186548,-2.5773029925
OH-O-In,1.45,7.09211582674124,2.715,0.497871893693153,5.125,1.78,415.74,2.5,1.75,1.96325,0.29698484809835,-1.40444888
OH-O-Ir,1.24,6.00717659783669,2.82,0.319140970908075,10.75,2.2,2724.99,2.75,2,1.96325,0,-0.54753223
OH-O-La,1.79,7.50415177535151,2.545,0.745613369000596,28.375,1.1,1178.99,2.75,2,1.96325,0.777817459305202,-2.65291214
OH-O-Lu,1.705,6.92452242054818,2.5875,0.691867378684938,17.875,1.27,1921.99,2.75,2,1.96325,0.657609306503489,-2.78973687
OH-O-Nd,1.77,6.3201004096636,2.555,0.733531702186476,26.125,1.14,1279.99,2.75,2,1.96325,0.74953318805774,-2.5936106325
OH-O-Rh,1.2,6.74839833969065,2.84,0.319140970908075,11.125,2.2,2222.99,2.5,2,1.96325,0.056568542494924,-0.8422369425
OH-O-Ru,1.24,6.64644315793276,2.82,0.319140970908075,12.25,2.2,2592.99,2.5,2,1.96325,0,-0.800851885
OH-O-Sc,1.66,8.77215717848158,2.61,0.660947392745558,29.125,1.36,1799.99,2.25,2,1.96325,0.5939696961967,-2.7142150975
OH-O-Sm,1.755,6.27396664518003,2.5625,0.724240177376075,24.625,1.17,1330.99,2.75,2,1.96325,0.728319984622144,-2.63276329
OH-O-Y,1.73,8.26831681707429,2.575,0.708320592678053,28.75,1.22,1784.99,2.5,2,1.96325,0.692964645562817,-2.734491985
O-O-Ce,2.32,7.01861710895042,2.66666666666667,0.739616569076971,32,1.12,1016.2,3.33333333333333,1.77777777777778,0,0,-3.4869070933
O-O-Ge,1.43,8.30991701832922,2.96333333333333,0.400239577896362,3.55555555555556,2.01,1156.6,2.66666666666667,0.888888888888889,0.127666666666667,0,-1.67367336
O-O-Hf,2.14,8.76025464394636,2.72666666666667,0.681744258226629,18.6666666666667,1.3,2451.2,3.33333333333333,1.77777777777778,0,0,-3.6135475333
O-O-Ir,1.24,7.60234807410174,3.02666666666667,0.319140970908075,12,2.2,2684.2,3.33333333333333,1.77777777777778,0,0,-0.6170653767
O-O-Mo,1.28,5.57068009105495,3.01333333333333,0.336084236664526,16.4444444444444,2.16,2841.2,3,1.77777777777778,0,0,-1.6906859
O-O-Os,1.24,5.4655477252458,3.02666666666667,0.319140970908075,13.3333333333333,2.2,3251.2,3.33333333333333,1.77777777777778,0,0,-0.56077649
O-O-Pd,1.24,5.9105814134973,3.02666666666667,0.319140970908075,11.1111111111111,2.2,1773.25,3,1.77777777777778,0,0,-0.5358927967
O-O-Pt,1.16,5.93340241752103,3.05333333333333,0.285662686264043,10.6666666666667,2.28,1986.6,3.33333333333333,1.77777777777778,0,0,-0.6775186867
O-O-Re,1.54,6.31723674800756,2.92666666666667,0.447277935696606,14.6666666666667,1.9,3404.2,3.33333333333333,1.77777777777778,0,0,-1.0341933533
O-O-Ru,1.24,5.8875828096472,3.02666666666667,0.319140970908075,13.7777777777778,2.2,2552.2,3,1.77777777777778,0,0,-0.9408513933
O-O-Sn,1.48,7.60234807410174,2.94666666666667,0.421663847129056,3.11111111111111,1.96,450.28,3,0.888888888888889,0,0,-1.65445234
O-O-Tc,1.54,6.74839833969065,2.92666666666667,0.447277935696606,15.1111111111111,1.9,2375.2,3,1.77777777777778,0,0,-1.4606548467
O-O-Te,1.34,6.35709418566688,2.99333333333333,0.361670071504925,1.33333333333333,2.1,667.86,3,0,0.154666666666667,0,-0.64455192
O-O-Ti,1.9,8.76025464394636,2.80666666666667,0.594445494936679,19.5555555555556,1.54,1886.2,2.66666666666667,1.77777777777778,0,0,-3.19809169
O-O-W,1.08,5.09235044415402,3.08,0.252932696862804,16,2.36,3640.2,3.33333333333333,1.77777777777778,0,0,-1.6436429233
O-O-Zr,2.11,8.20427102507125,2.73666666666667,0.671436448466081,19.1111111111111,1.33,2073.2,3,1.77777777777778,0,0,-3.53233204
NH-OH-Al,1.23666666666667,9.73760159749159,2.498,0.567089816109359,6.16,1.61,919.46,1.8,1.52,4.4286,0.417193000900063,-1.3323578
NH-OH-Bi,1.1,5.84397802402675,2.58,0.395951025061975,3.36,2.02,530.39,2.4,1.6,4.4286,0.127279220613579,-0.309355838
NH-OH-Ce,1.4,5.51048139025983,2.4,0.739616569076971,23.44,1.12,1056.99,2.4,1.68,4.4286,0.763675323681471,-1.476745978
NH-OH-Co,1.14666666666667,5.64018710711693,2.552,0.455779073674793,9.76,1.88,1753.99,2,1.68,4.4286,0.226274169979695,-0.656546626
NH-OH-Cr,1.22,5.68212312351236,2.508,0.547107278760105,12.56,1.66,2165.99,2,1.68,4.4286,0.381837661840736,-0.921065908
NH-OH-Fe,1.16333333333333,6.41584614983807,2.542,0.476922164006862,10.64,1.83,1796.99,2,1.68,4.4286,0.261629509039023,-0.576914392
NH-OH-Ga,1.17,6.99809471955749,2.538,0.485327755826721,5.92,1.81,288.9,2,1.52,4.4286,0.275771644662754,-0.81355933
NH-OH-Gd,1.37333333333333,6.17862916149322,2.416,0.714753054942695,19.6,1.2,1571.99,2.4,1.68,4.4286,0.707106781186548,-1.443026934
NH-OH-In,1.18,6.39947912427539,2.532,0.497871893693153,5.68,1.78,415.74,2.2,1.52,4.4286,0.29698484809835,-0.699562786
NH-OH-Ir,1.04,5.4204982226518,2.616,0.319140970908075,9.28,2.2,2724.99,2.4,1.68,4.4286,0,-0.2936719
NH-OH-La,1.40666666666667,6.77127444121595,2.396,0.745613369000596,24.08,1.1,1178.99,2.4,1.68,4.4286,0.777817459305202,-1.469984264
NH-OH-Lu,1.35,6.24825337860233,2.43,0.691867378684938,15.12,1.27,1921.99,2.4,1.68,4.4286,0.657609306503489,-1.601671202
NH-OH-Nd,1.39333333333333,5.70286098296153,2.404,0.733531702186476,22.16,1.14,1279.99,2.4,1.68,4.4286,0.749533188057741,-1.438876868
NH-OH-Rh,1.01333333333333,6.0893300888162,2.632,0.319140970908075,9.52,2.2,2222.99,2.2,1.68,4.4286,0.056568542494924,-0.489620646
NH-OH-Ru,1.04,5.99733214726945,2.616,0.319140970908075,10.32,2.2,2592.99,2.2,1.68,4.4286,0,-0.355887312
NH-OH-Sc,1.32,7.91544274092178,2.448,0.660947392745558,24.72,1.36,1799.99,2,1.68,4.4286,0.5939696961967,-1.562290044
NH-OH-Sm,1.38333333333333,5.66123277637984,2.41,0.724240177376075,20.88,1.17,1330.99,2.4,1.68,4.4286,0.728319984622144,-1.4722044
NH-OH-Y,1.36666666666667,7.46080889771297,2.42,0.708320592678053,24.4,1.22,1784.99,2.2,1.68,4.4286,0.692964645562817,-1.559565658
PH-OH-Al,0.811666666666667,8.26339910170895,2.328,0.567089816109359,5.92,1.61,919.46,2,1.52,3.4662,0.417193000900063,-0.643421426
PH-OH-Bi,0.675,4.9592419930786,2.41,0.395951025061975,3.2,2.02,530.39,2.6,1.6,3.4662,0.127279220613579,-0.319930276
PH-OH-Ce,0.975,4.67623433905808,2.23,0.739616569076971,23.52,1.12,1056.99,2.6,1.68,3.4662,0.763675323681471,-1.152342588
PH-OH-Co,0.721666666666667,4.78630354793181,2.382,0.455779073674793,9.76,1.88,1753.99,2.2,1.68,3.4662,0.226274169979695,-0.578387012
PH-OH-Cr,0.795,4.82189075457009,2.338,0.547107278760105,12.64,1.66,2165.99,2.2,1.68,3.4662,0.381837661840736,-0.605805498
PH-OH-Fe,0.738333333333333,5.44453341826306,2.372,0.476922164006862,10.72,1.83,1796.99,2.2,1.68,3.4662,0.261629509039023,-0.454951592
PH-OH-Ga,0.745,5.93863376318067,2.368,0.485327755826721,5.68,1.81,303.29,2.2,1.52,3.4662,0.275771644662754,-0.410925536
PH-OH-Gd,0.948333333333333,5.24322936728362,2.246,0.714753054942695,19.68,1.2,1571.99,2.6,1.68,3.4662,0.707106781186548,-1.078825434
PH-OH-In,0.755,5.43064424206518,2.362,0.497871893693153,5.44,1.78,415.74,2.4,1.52,3.4662,0.29698484809835,-0.431066712
PH-OH-Ir,0.615,4.59987397260268,2.446,0.323366153838271,9.12,2.19,2724.99,2.6,1.68,3.4662,0,-0.579195664
PH-OH-La,0.981666666666666,5.74615243546033,2.226,0.745613369000596,24.16,1.1,1178.99,2.6,1.68,3.4662,0.777817459305202,-1.148087324
PH-OH-Lu,0.925,5.30231298118551,2.26,0.691867378684938,15.2,1.27,1921.99,2.6,1.68,3.4662,0.657609306503489,-1.119363158
PH-OH-Nd,0.968333333333333,4.83948905199765,2.234,0.733531702186476,22.24,1.14,1279.99,2.6,1.68,3.4662,0.749533188057741,-1.098179358
PH-OH-Rh,0.588333333333333,5.1674495287315,2.462,0.323366153838271,9.44,2.19,2222.99,2.4,1.68,3.4662,0.056568542494924,-0.677692792
PH-OH-Ru,0.615,5.08937941054837,2.446,0.323366153838271,10.4,2.19,2592.99,2.4,1.68,3.4662,0,-0.435394284
PH-OH-Sc,0.895,6.71710192495561,2.278,0.660947392745558,24.8,1.36,1799.99,2.2,1.68,3.4662,0.5939696961967,-1.094054124
PH-OH-Sm,0.958333333333333,4.80416305499223,2.24,0.724240177376075,20.96,1.17,1330.99,2.6,1.68,3.4662,0.728319984622144,-1.103228004
PH-OH-Y,0.941666666666666,6.33129635938946,2.25,0.708320592678053,24.48,1.22,1784.99,2.4,1.68,3.4662,0.692964645562817,-1.136907746
S-OH-Al,1.105,9.45923064362864,2.4575,0.567089816109359,6,1.61,919.46,2.25,1.75,2.51375,0.417193000900063,-1.3578532443
S-OH-Bi,0.9,5.67691494174564,2.56,0.395951025061975,1.875,2.02,530.39,3,1.375,2.51375,0.127279220613579,-0.6689614718
S-OH-Ce,1.35,5.35295204943675,2.335,0.739616569076971,27.75,1.12,1056.99,3,2,2.51375,0.763675323681471,-1.9209606367
S-OH-Co,0.97,5.47894984050108,2.525,0.455779073674793,11.625,1.88,1753.99,2.5,2,2.51375,0.226274169979695,-0.8444798018
S-OH-Cr,1.08,5.51968702279262,2.47,0.547107278760105,15,1.66,2165.99,2.5,2,2.51375,0.381837661840736,-1.1314750218
S-OH-Fe,0.995,6.23243494794331,2.5125,0.476922164006862,12.75,1.83,1796.99,2.5,2,2.51375,0.261629509039023,-0.7604989968
S-OH-Ga,1.005,6.798038650021,2.5075,0.485327755826721,5.625,1.81,374.35,2.5,1.75,2.51375,0.275771644662754,-0.9103501243
S-OH-Gd,1.31,6.00199933370346,2.355,0.714753054942695,23.25,1.2,1571.99,3,2,2.51375,0.707106781186548,-1.98017436925
S-OH-In,1.02,6.21653581013226,2.5,0.497871893693153,5.25,1.78,415.74,2.75,1.75,2.51375,0.29698484809835,-0.9350891218
S-OH-Ir,0.81,5.26554125038866,2.605,0.319140970908075,10.875,2.2,2724.99,3,2,2.51375,0,-0.6296567868
S-OH-La,1.36,6.57770253275395,2.33,0.745613369000596,28.5,1.1,1178.99,3,2,2.51375,0.777817459305202,-2.0051482368
S-OH-Lu,1.275,6.06963318803847,2.3725,0.691867378684938,18,1.27,1921.99,3,2,2.51375,0.657609306503489,-1.9915056668
S-OH-Nd,1.34,5.53983204450263,2.34,0.733531702186476,26.25,1.14,1279.99,3,2,2.51375,0.749533188057741,-1.9375917368
S-OH-Rh,0.77,5.91525307321445,2.625,0.319140970908075,11.25,2.2,2222.99,2.75,2,2.51375,0.056568542494924,-0.8211528892
S-OH-Ru,0.81,5.8258850970124,2.605,0.319140970908075,12.375,2.2,2592.99,2.75,2,2.51375,0,-0.6078136593
S-OH-Sc,1.23,7.68916224217909,2.395,0.660947392745558,29.25,1.36,1799.99,2.5,2,2.51375,0.5939696961967,-1.9360849168
S-OH-Sm,1.325,5.49939387259813,2.3475,0.724240177376075,24.75,1.17,1330.99,3,2,2.51375,0.728319984622144,-1.9507802493
S-OH-Y,1.3,7.24752511641918,2.36,0.708320592678053,28.875,1.22,1784.99,2.75,2,2.51375,0.692964645562817,-2.0107418618
Se-OH-Al,1.09,8.95510148909566,2.45,0.567089816109359,6.125,1.61,919.46,2.5,1.75,2.163,0.417193000900063,-1.12747815
Se-OH-Bi,0.885,5.37436408557579,2.5525,0.395951025061975,2,2.02,530.39,3.25,1.375,2.163,0.127279220613579,-0.676359375
Se-OH-Ce,1.335,5.0676667770287,2.3275,0.739616569076971,27.875,1.12,1056.99,3.25,2,2.163,0.763675323681471,-1.9296903775
Se-OH-Co,0.955,5.186949523046,2.5175,0.455779073674793,11.75,1.88,1753.99,2.75,2,2.163,0.226274169979695,-0.7391721
Se-OH-Cr,1.065,5.22551561954415,2.4625,0.547107278760105,15.125,1.66,2165.99,2.75,2,2.163,0.381837661840736,-1.03107403
Se-OH-Fe,0.98,5.90027768491,2.505,0.476922164006862,12.875,1.83,1796.99,2.75,2,2.163,0.261629509039023,-0.646776
Se-OH-Ga,0.99,6.43573757013074,2.5,0.485327755826721,5.75,1.81,479.99,2.75,1.75,2.163,0.275771644662754,-0.777191295
Se-OH-Gd,1.295,5.68212312351236,2.3475,0.714753054942695,23.375,1.2,1571.99,3.25,2,2.163,0.707106781186548,-1.8628800775
Se-OH-In,1.005,5.88522589073655,2.4925,0.497871893693153,5.375,1.78,479.99,3,1.75,2.163,0.29698484809835,-0.8493986
Se-OH-Ir,0.795,4.98491453150164,2.5975,0.319140970908075,11,2.2,2724.99,3.25,2,2.163,0,-0.53869928
Se-OH-La,1.345,6.22714425359408,2.3225,0.745613369000596,28.625,1.1,1178.99,3.25,2,2.163,0.777817459305202,-1.9051742675
Se-OH-Lu,1.26,5.74615243546033,2.365,0.691867378684938,18.125,1.27,1921.99,3.25,2,2.163,0.657609306503489,-1.848020385
Se-OH-Nd,1.325,5.24458701347772,2.3325,0.733531702186476,26.375,1.14,1279.99,3.25,2,2.163,0.749533188057741,-1.836445185
Se-OH-Rh,0.755,5.6,2.6175,0.319140970908075,11.375,2.2,2222.99,3,2,2.163,0.056568542494924,-0.754634675
Se-OH-Ru,0.795,5.51539488496313,2.5975,0.319140970908075,12.5,2.2,2592.99,3,2,2.163,0,-0.5018174675
Se-OH-Sc,1.215,7.27936878156318,2.3875,0.660947392745558,29.375,1.36,1799.99,2.75,2,2.163,0.5939696961967,-1.785366235
Se-OH-Sm,1.31,5.20630399162519,2.34,0.724240177376075,24.875,1.17,1330.99,3.25,2,2.163,0.728319984622144,-1.840636505
Se-OH-Y,1.285,6.86126868108657,2.3525,0.708320592678053,29,1.22,1784.99,3,2,2.163,0.692964645562817,-1.886815295
Te-OH-Al,0.865,11.7962642583981,2.3375,0.567089816109359,6.25,1.61,919.46,2.75,1.75,2.07925,0.417193000900063,-0.789970385
Te-OH-Bi,0.66,7.07947520767833,2.44,0.395951025061975,2.25,2.02,708.65,3.5,1.375,2.07925,0.127279220613579,-0.636479185
Te-OH-Ce,1.11,6.67547280710628,2.215,0.739616569076971,28,1.12,1056.99,3.5,2,2.07925,0.763675323681471,-1.7361060725
Te-OH-Co,0.73,6.832600093179,2.405,0.455779073674793,11.875,1.88,1753.99,3,2,2.07925,0.226274169979695,-0.5849071675
Te-OH-Cr,0.84,6.88340195916132,2.35,0.547107278760105,15.25,1.66,2165.99,3,2,2.07925,0.381837661840736,-0.9513671275
Te-OH-Fe,0.755,7.77224410620904,2.3925,0.476922164006862,13,1.83,1796.99,3,2,2.07925,0.261629509039023,-0.614657215
Te-OH-Ga,0.765,8.47758801699852,2.3875,0.485327755826721,5.875,1.81,708.65,3,1.75,2.07925,0.275771644662754,-0.4993941125
Te-OH-Gd,1.07,7.48487618988168,2.235,0.714753054942695,23.5,1.2,1571.99,3.5,2,2.07925,0.707106781186548,-1.6370476675
Te-OH-In,0.78,7.7524168667468,2.38,0.497871893693153,5.5,1.78,708.65,3.25,1.75,2.07925,0.29698484809835,-0.6447135175
Te-OH-Ir,0.57,6.56646596252706,2.485,0.361670071504925,11.125,2.1,2724.99,3.5,2,2.07925,0,-0.4699489725
Te-OH-La,1.12,8.20281481790097,2.21,0.745613369000596,28.75,1.1,1178.99,3.5,2,2.07925,0.777817459305202,-1.7010253175
Te-OH-Lu,1.035,7.56921992232752,2.2525,0.691867378684938,18.25,1.27,1921.99,3.5,2,2.07925,0.657609306503489,-1.57761889
Te-OH-Nd,1.1,6.90852408679889,2.22,0.733531702186476,26.5,1.14,1279.99,3.5,2,2.07925,0.749533188057741,-1.6286012225
Te-OH-Rh,0.53,7.37669806729351,2.505,0.361670071504925,11.5,2.1,2222.99,3.25,2,2.07925,0.056568542494924,-0.699554725
Te-OH-Ru,0.57,7.26525049790501,2.485,0.361670071504925,12.625,2.1,2592.99,3.25,2,2.07925,0,-0.3986361575
Te-OH-Sc,0.99,9.58887600394176,2.275,0.660947392745558,29.5,1.36,1799.99,3,2,2.07925,0.5939696961967,-1.532716545
Te-OH-Sm,1.085,6.85809510585072,2.2275,0.724240177376075,25,1.17,1330.99,3.5,2,2.07925,0.728319984622144,-1.6117858475
Te-OH-Y,1.06,9.038126324813,2.24,0.708320592678053,29.125,1.22,1784.99,3.25,2,2.07925,0.692964645562817,-1.6297806075
Br-Br-Ba,2.07,6.0893300888162,2.27,0.657411410756611,38.2222222222222,0.89,734.2,4.66666666666667,2.22222222222222,0.971333333333333,0,-2.4935522433
Br-Br-Be,1.39,10.6147415634893,2.49666666666667,0.383085599679248,12.4444444444444,1.57,1294.2,3.33333333333333,2.22222222222222,0.971333333333333,0,-1.00107567
Br-Br-Ca,1.96,7.03053328990968,2.30666666666667,0.617260240551931,39.1111111111111,1,849.2,4,2.22222222222222,0.971333333333333,0,-2.4088860733
Br-Br-Cd,1.27,5.66385250501676,2.53666666666667,0.331838253983406,11.1111111111111,1.69,328.42,4.33333333333333,2.22222222222222,0.971333333333333,0,-1.12488076
Br-Br-Co,1.08,5.24933324865933,2.6,0.252932696862804,16.4444444444444,1.88,1502.2,4,2.22222222222222,0.971333333333333,0,-0.59269749
Br-Br-Cu,1.06,5.27058584175749,2.60666666666667,0.244896157910976,13.7777777777778,1.9,1091.97,4,2.22222222222222,0.971333333333333,0,-0.4449740767
Br-Br-Fe,1.13,5.04979576339657,2.58333333333333,0.273287979294598,17.7777777777778,1.83,1545.2,4,2.22222222222222,0.971333333333333,0,-0.57120809
Br-Br-Mg,1.65,8.30731440192981,2.41,0.493699544326619,12,1.31,657.2,3.66666666666667,2.22222222222222,0.971333333333333,0,-1.81993074
Br-Br-Mn,1.41,5.47428213519125,2.49,0.39166222482331,19.1111111111111,1.55,1253.2,4,2.22222222222222,0.971333333333333,0,-1.35089445
Br-Br-Ni,1.05,5.3125843123874,2.61,0.240902461029019,15.1111111111111,1.91,1462.2,4,2.22222222222222,0.971333333333333,0,-0.8670527033
Br-Br-Pb,0.63,5.3125843123874,2.75,0.094461061160864,6.22222222222222,2.33,334.81,4.66666666666667,1.33333333333333,0.971333333333333,0,-1.0722466933
Br-Br-Pd,0.76,4.93176640440075,2.70666666666667,0.134458537778234,14.6666666666667,2.2,1562.25,4.33333333333333,2.22222222222222,0.971333333333333,0,-0.4666610833
Br-Br-Pt,0.68,5.20630399162519,2.73333333333333,0.109168515365691,14.2222222222222,2.28,1775.6,4.66666666666667,2.22222222222222,0.971333333333333,0,-0.12649545
Br-Br-Sr,2.01,6.60027547059592,2.29,0.635790125789148,38.6666666666667,0.95,784.2,4.33333333333333,2.22222222222222,0.971333333333333,0,-2.4751572333
Br-Br-Zn,1.31,5.75405636899331,2.52333333333333,0.348856349613711,11.5555555555556,1.65,426.88,4,2.22222222222222,0.971333333333333,0,-1.04212917
Cl-Cl-Ba,2.27,6.56349605440484,2.40333333333333,0.724240177376075,37.7777777777778,0.89,828.4,4,2.22222222222222,1.662,0,-2.74706322
Cl-Cl-Be,1.59,11.4412937637338,2.63,0.468485606147228,12,1.57,1388.4,2.66666666666667,2.22222222222222,1.662,0,-1.3815169733
Cl-Cl-Ca,2.16,7.57798917707464,2.44,0.688513724152593,38.6666666666667,1,943.4,3.33333333333333,2.22222222222222,1.662,0,-2.7000260533
Cl-Cl-Cd,1.47,6.10488724164984,2.67,0.417382851233086,10.6666666666667,1.69,422.62,3.66666666666667,2.22222222222222,1.662,0,-1.3169094933
Cl-Cl-Co,1.28,5.6580900629957,2.73333333333333,0.336084236664527,16,1.88,1596.4,3.33333333333333,2.22222222222222,1.662,0,-0.82437527
Cl-Cl-Cu,1.26,5.68099756002922,2.74,0.327598737602997,13.3333333333333,1.9,1186.17,3.33333333333333,2.22222222222222,1.662,0,-0.6315309767
Cl-Cl-Fe,1.33,5.44301492695843,2.71666666666667,0.357394966944066,17.3333333333333,1.83,1639.4,3.33333333333333,2.22222222222222,1.662,0,-0.8690234367
Cl-Cl-Mg,1.85,8.95419110222137,2.54333333333333,0.574982527866331,11.5555555555556,1.31,751.4,3,2.22222222222222,1.662,0,-2.1573382733
Cl-Cl-Mn,1.61,5.90055534368507,2.62333333333333,0.476922164006862,18.6666666666667,1.55,1347.4,3.33333333333333,2.22222222222222,1.662,0,-1.60051932
Cl-Cl-Ni,1.25,5.72626638143483,2.74333333333333,0.323366153838271,14.6666666666667,1.91,1556.4,3.33333333333333,2.22222222222222,1.662,0,-1.1300733267
Cl-Cl-Pb,0.83,5.72626638143483,2.88333333333333,0.158210250834464,5.77777777777778,2.33,429.01,4,1.33333333333333,1.662,0,-1.2318974
Cl-Cl-Pd,0.96,5.31579481887203,2.84,0.205784147383453,14.2222222222222,2.2,1656.45,3.66666666666667,2.22222222222222,1.662,0,-0.59967014
Cl-Cl-Pt,0.88,5.61171018956984,2.86666666666667,0.176012566668297,13.7777777777778,2.28,1869.8,4,2.22222222222222,1.662,0,-0.1975005567
Cl-Cl-Sr,2.21,7.11422789984822,2.42333333333333,0.705072288961961,38.2222222222222,0.95,878.4,3.66666666666667,2.22222222222222,1.662,0,-2.7502982333
Cl-Cl-Zn,1.51,6.20211512988496,2.65666666666667,0.434488699259705,11.1111111111111,1.65,521.08,3.33333333333333,2.22222222222222,1.662,0,-1.2965971467
CN-CN-Ba,1.04333333333333,7.11083447997958,2.414,0.685139312535294,22.56,0.89,3759.95,2.8,0.8,4.3732,1.17379725676967,-0.131028746
CN-CN-Be,0.816666666666667,12.3953980495096,2.55,0.417382851233086,4,1.57,3759.95,2,0.8,4.3732,0.692964645562816,0.766575826
CN-CN-Ca,1.00666666666667,8.20992749635173,2.436,0.646686671641399,23.2,1,3759.95,2.4,0.8,4.3732,1.09601551083915,-0.043531204
CN-CN-Cd,0.776666666666667,6.6139816851383,2.574,0.365948438141932,3.52,1.69,3759.95,2.6,0.8,4.3732,0.608111831820431,0.738099994
CN-CN-Co,0.713333333333333,6.12992551184339,2.612,0.285662686264043,6.88,1.88,3759.95,2.4,0.8,4.3732,0.473761543394987,0.884639366
CN-CN-Cu,0.706666666666667,6.15474329468439,2.616,0.277400390009806,4.96,1.9,3759.95,2.4,0.8,4.3732,0.459619407771256,1.028019308
CN-CN-Fe,0.73,5.89691498202159,2.602,0.306514536143557,7.84,1.83,3759.95,2.4,0.8,4.3732,0.509116882454314,0.833386562
CN-CN-Mg,0.903333333333333,9.70089268009404,2.498,0.526794252062466,3.84,1.31,3759.95,2.2,0.8,4.3732,0.876812408671319,0.292618872
CN-CN-Mn,0.823333333333334,6.39261028590779,2.546,0.425942090430698,8.8,1.55,3759.95,2.4,0.8,4.3732,0.707106781186547,0.706692872
CN-CN-Ni,0.703333333333333,6.20378714166027,2.618,0.273287979294598,5.92,1.91,3759.95,2.4,0.8,4.3732,0.45254833995939,0.922866166
CN-CN-Pb,0.563333333333333,6.20378714166027,2.702,0.118407193312251,2.24,2.33,3759.95,2.8,0.48,4.3732,0.15556349186104,0.7613786
CN-CN-Pd,0.606666666666667,5.75908582456817,2.676,0.161717396775766,5.6,2.2,3759.95,2.6,0.8,4.3732,0.247487373415291,0.913316874
CN-CN-Pt,0.236666666666667,6.07967796078219,2.692,0.134458537778234,5.28,2.28,3759.95,2.8,0.8,4.3732,0,0.977883386
CN-CN-Sr,1.02333333333333,7.70749256636227,2.426,0.664463655809218,22.88,0.95,3759.95,2.6,0.8,4.3732,1.13137084989848,-0.100964206
CN-CN-Zn,0.79,6.71931753273341,2.566,0.383085599679248,3.68,1.65,3759.95,2.4,0.8,4.3732,0.636396103067893,0.75543406
